# === FILE: accountChangePassword-translated.csv ===

key,en,fr,selector,type,attr
# emailPreferences.intro,"In addition to <a href=""/preferences"">community notifications</a>, other messages are routinely sent to users. These messages -System, Community, Participation, and Promotional - will always be sent to your <a href=""/inbox"">profile inbox</a>. By default, they are also emailed to your preferred email address. Select “no” below to opt-out of receiving certain emails per your preferences. You will always receive these messages in your profile inbox regardless of these settings.","En plus des <a href=""/preferences"">notifications de la communauté</a>, d’autres messages sont régulièrement envoyés aux utilisateurs. Ces messages — Système, Communauté, Participation et Promotion — seront toujours envoyés à votre <a href=""/inbox"">boîte de réception de profil</a>. Par défaut, ils sont également envoyés à votre adresse courriel préférée. Sélectionnez « non » ci-dessous pour vous désabonner de certains courriels selon vos préférences. Vous recevrez toujours ces messages dans votre boîte de réception de profil, quels que soient ces paramètres.",#MainCopy_ctl29_EmailUpdatePanel p:first-of-type,attr,innerHTML
# emailPreferences.intro,"In addition to  <a href=""/preferences"">community notifications</a>, other messages are routinely sent to users. These messages -System, Community, Participation, and Promotional - will always be sent to your <a href=""/inbox"">profile inbox</a>. By default, they are also emailed to your preferred email address. Select ""no"" below to opt-out of receiving certain emails per your preferences. You will always receive these messages in your profile inbox regardless of these settings.","En plus des <a href=""/preferences"">notifications de la communauté</a>, d’autres messages sont régulièrement envoyés aux utilisateurs. Ces messages — Système, Communauté, Participation et Promotion — seront toujours envoyés à votre <a href=""/inbox"">boîte de réception de profil</a>. Par défaut, ils sont également envoyés à votre adresse courriel préférée. Sélectionnez « non » ci-dessous pour vous désabonner de certains courriels selon vos préférences. Vous recevrez toujours ces messages dans votre boîte de réception de profil, quels que soient ces paramètres.",#MainCopy_ctl29_EmailUpdatePanel p:first-of-type,attr,innerHTML
emailPreferences.intro,"In addition to  <a href=""/preferences"">community notifications</a>, other messages are routinely sent to users. These messages -System, Community, Participation, and Promotional - will always be sent to your <a href=""/inbox"">profile inbox</a>. By default, they are also emailed to your preferred email address. Select ""no"" below to opt-out of receiving certain emails per your preferences. You will always receive these messages in your profile inbox regardless of these settings.","En plus des <a href=""/preferences"">notifications de la communauté</a>, d’autres messages sont régulièrement envoyés aux utilisateurs. Ces messages — Système, Communauté, Participation et Promotion — seront toujours envoyés à votre <a href=""/inbox"">boîte de réception de profil</a>. Par défaut, ils sont également envoyés à votre adresse courriel préférée. Sélectionnez « non » ci-dessous pour vous désabonner de certains courriels selon vos préférences. Vous recevrez toujours ces messages dans votre boîte de réception de profil, quels que soient ces paramètres.",#MainCopy_ctl29_EmailUpdatePanel p:first-of-type,html,

emailPreferences.primaryAddressNotice,Email notifications and communications will be delivered to the email address below.,Les notifications et communications par courriel seront envoyées à l’adresse indiquée ci-dessous.,#MainCopy_ctl29_pnlLinkToEditEmail p:first-of-type,text,
emailPreferences.change,Change,Changer,#MainCopy_ctl29_hlChangeEmail,text,
emailPreferences.system.heading,System Emails,Courriels système,#MainCopy_ctl29_pnlLinkToEditEmail ~ .row-border-bottom:nth-of-type(1) h3,text,
emailPreferences.system.desc,Emails required to confirm user participation. Users cannot opt-out of these emails.,Courriels nécessaires pour confirmer la participation de l’utilisateur. Les utilisateurs ne peuvent pas se désabonner de ces courriels.,#MainCopy_ctl29_pSystemEmailDescription,text,
emailPreferences.community.heading,Community Emails,Courriels de la communauté,.row-border-bottom:nth-of-type(2) h3,text,
# emailPreferences.community.desc,Emails typically sent from Community Admins or the Community Manager via automation rules (ex: moderation notifications, Component Manager emails). Some automation rules-based emails may be in other categories. By default, you receive Community emails from all your Communities unless you explicitly opt-out.,Courriels généralement envoyés par les administrateurs de la communauté ou le gestionnaire de communauté au moyen de règles d’automatisation (p. ex. notifications de modération, courriels du gestionnaire de composant). Certains courriels automatisés peuvent se trouver dans d’autres catégories. Par défaut, vous recevez les courriels de toutes vos communautés sauf si vous vous désabonnez explicitement.,#MainCopy_ctl29_cbCommunityEmails ~ p:first-of-type,text,
emailPreferences.community.desc,"Emails typically sent from Community Admins or the Community Manager via automation rules (ex: moderation notifications, Component Manager emails). Some automation rules-based emails may be in other categories. By default, you receive Community emails from all your Communities unless you explicitly opt-out.","Courriels généralement envoyés par les administrateurs de la communauté ou le gestionnaire de communauté au moyen de règles d’automatisation (p. ex. notifications de modération, courriels du gestionnaire de composant). Certains courriels automatisés peuvent se trouver dans d’autres catégories. Par défaut, vous recevez les courriels de toutes vos communautés sauf si vous vous désabonnez explicitement.",#MainCopy_ctl29_cbCommunityEmails ~ p:first-of-type,text,
emailPreferences.community.manageOptOut,Manage Opt-out List,Gérer la liste de désabonnement,#MainCopy_ctl29_lbtnManageOptOutList,text,
emailPreferences.community.note,NOTE: Discussion and consolidated digest settings are on the Community Notifications page.,REMARQUE : Les paramètres des discussions et des résumés consolidés se trouvent sur la page Notifications de la communauté.,.row-border-bottom:nth-of-type(2) .text-muted,text,
emailPreferences.participation.heading,Participation Emails,Courriels de participation,.row-border-bottom:nth-of-type(3) h3,text,
# emailPreferences.participation.desc,Emails reflecting one-on-one interactions (ex: reply to sender, contact requests, @mentions, real time notifications).,Courriels reflétant des interactions individuelles (p. ex. réponse à l’expéditeur, demandes de contact, @mentions, notifications en temps réel).,#MainCopy_ctl29_pSocialEmailDescription,text,
emailPreferences.participation.desc,"Emails reflecting one-on-one interactions (ex: reply to sender, contact requests, @mentions, real time notifications).","Courriels reflétant des interactions individuelles (p. ex. réponse à l’expéditeur, demandes de contact, @mentions, notifications en temps réel).",#MainCopy_ctl29_pSocialEmailDescription,text,
emailPreferences.promotional.heading,Promotional Emails,Courriels promotionnels,.row-border-bottom:nth-of-type(4) h3,text,
emailPreferences.promotional.desc,Emails that promote the outcome of purchase (ex: purchase the book of an annual conference speaker).,Courriels qui font la promotion d’achats ou de produits (p. ex. achat du livre d’un conférencier de la conférence annuelle).,#MainCopy_ctl29_pPromotionalEmailDescription,text,
emailPreferences.newsletter.heading,Smart Newsletter,Bulletin intelligent,.row-border-bottom:nth-of-type(5) h3,text,
emailPreferences.newsletter.desc,Smart Newsletter is a periodic email that contains highly personalized content from community and other sources.,Le Bulletin intelligent est un courriel périodique qui contient du contenu hautement personnalisé provenant de la communauté et d’autres sources.,#MainCopy_ctl29_pNewsletterEmailDescription,text,
emailPreferences.optOut.modalTitle,Community Email - Opt-out List, Courriels de communauté – Liste de désabonnement,#MainCopy_ctl29_modalOptOutList .modal-title,text,
emailPreferences.optOut.modalDesc,Select communities for which you would not like to receive emails.,Sélectionnez les communautés dont vous ne souhaitez pas recevoir les courriels.,#MainCopy_ctl29_modalOptOutList .modal-body p,text,
emailPreferences.optOut.save,Save,Enregistrer,#MainCopy_ctl29_modalOptOutList_btnSaveOptOutList,attr,value
emailPreferences.optOut.close,Close,Fermer,#MainCopy_ctl29_modalOptOutList_btnCloseOptOutList,attr,value

# === FILE: accountSettingsPrivacy-translated.csv ===

# Heading + intro
accountSettingsPrivacy.title,Privacy Settings,Paramètres de confidentialité,#MainCopy_ctl29_PrivacyUpdatePanel h2,text,
accountSettingsPrivacy.intro.1,Your profile may be accessed through the member directory and community rosters.  You have control over the information others see on your profile.,Votre profil peut être consulté dans l’annuaire des membres et les listes des communautés. Vous contrôlez les informations visibles sur votre profil.,#MainCopy_ctl29_PrivacyUpdatePanel .row .col-md-12 p:nth-of-type(1),text,

# Master toggle (Yes/No) next to "Include in member directory"
accountSettingsPrivacy.include.label,I would like to be included in the member directory and community rosters:,Je souhaite être inclus dans l’annuaire des membres et les listes des communautés :,label[for="cbPrivacyIncludeInMemberDirectory"],text,
accountSettingsPrivacy.include.yes,Yes,Oui,#MainCopy_ctl29_PrivacySettings_IncludeInMemberDirectory + .bootstrap-switch .bootstrap-switch-handle-on,text,
accountSettingsPrivacy.include.no,No,Non,#MainCopy_ctl29_PrivacySettings_IncludeInMemberDirectory + .bootstrap-switch .bootstrap-switch-handle-off,text,

# Row labels (left column)
accountSettingsPrivacy.picture,Picture,Photo,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl00_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.company,Company Information,Renseignements sur l’entreprise,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl01_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.job,Job Title and Department,Titre du poste et service,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl02_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.address,Address Lines,Adresses,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl03_ucRdBtnChildList_lblheading,text,
# accountSettingsPrivacy.cityStateZip,City, State, Zip,Ville, province/État, code postal,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl04_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.country,Country,Pays,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl05_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.website,Website URL,Adresse du site Web,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl06_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.phone1,Phone1,Téléphone 1,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl07_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.phone2,Phone2,Téléphone 2,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl08_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.email,Email Address,Adresse courriel,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl09_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.sendMessage,Send Message,Envoyer un message,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl10_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.addAsContact,Add as Contact,Ajouter comme contact,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl11_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.bio,Bio,Biographie,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl12_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.education,Education,Études,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl13_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.jobHistory,Job History,Historique d’emploi,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl14_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.myDocuments,My Documents,Mes documents,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl15_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.mentorStatus,MentorStatus,Statut de mentor,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl16_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.menteeStatus,MenteeStatus,Statut de mentoré,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl17_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.digitalRibbon,Digital Ribbon,Ruban numérique,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl18_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.honors,H***onors and Awards,Distinctions et prix,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl19_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.groups,Professional Groups and Associations,Groupes et associations professionnels,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl20_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.social,Social Media Sites,Sites de médias sociaux,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl21_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.vcard,vCard Download,Téléchargement de vCard,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl22_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.volunteer,Past Volunteer Experience,Expérience bénévole antérieure,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl23_ucRdBtnChildList_lblheading,text,

# Shared dropdown options (affect every .privacySettingSelect)
accountSettingsPrivacy.opt.contacts,My Contacts,Mes contacts,.privacySettingSelect option[value="1"],text,
accountSettingsPrivacy.opt.members,Members Only,Membres seulement,.privacySettingSelect option[value="2"],text,
accountSettingsPrivacy.opt.public,Public,Public,.privacySettingSelect option[value="3"],text,
accountSettingsPrivacy.opt.onlyMe,Only Me,Seulement moi,.privacySettingSelect option[value="4"],text,
accountSettingsPrivacy.opt.nobody,Nobody,Personne,.privacySettingSelect option[value="4"],text,

# === FILE: accountSettingsRss-translated.csv ===

rss.heading,RSS Feeds,Fils RSS,#MainCopy_ctl29_ManageRSSUpdatePanel h2,text,
rss.tab.discussions,Discussions,Discussions,#MainCopy_ctl29_ManageRSS_tbpEG a,text,
rss.tab.library,Library,Bibliothèque,#MainCopy_ctl29_ManageRSS_tbpRL a,text,
rss.tab.blogs,Blogs,Blogs,#MainCopy_ctl29_ManageRSS_tbpBlogs a,text,
rss.tab.glossary,Glossary,Glossaire,#MainCopy_ctl29_ManageRSS_tbpGlossary a,text,
rss.discussions.legend,discussions subscribed through RSS,discussions abonnés via RSS,#MainCopy_ctl29_ManageRSS_SubscribedThroughRSSText,text,
rss.discussions.placeholder,Add a discussion,Ajouter une discussion,#MainCopy_ctl29_ManageRSS_ulDiscussions input,attr,placeholder
rss.library.legend,libraries subscribed through RSS,bibliothèques abonnées via RSS,#MainCopy_ctl29_ManageRSS_LibrariesSubscribedText,text,
rss.library.placeholder,Add a Library,Ajouter une bibliothèque,#MainCopy_ctl29_ManageRSS_ulLibraries input,attr,placeholder
rss.blogs.legend,Blogs subscribed through RSS,Blogs abonnés via RSS,#MainCopy_ctl29_ManageRSS_BlogsSubscribedText,text,
rss.blogs.all,All Blogs,Tous les blogs,#MainCopy_ctl29_ManageRSS_lblAllBlogs,text,
rss.blogs.contacts,My Contacts' Blogs,Blogs de mes contacts,#MainCopy_ctl29_ManageRSS_lblContactBlogs,text,
rss.blogs.placeholder,Add a Blogger,Ajouter un blogueur,#MainCopy_ctl29_ManageRSS_ulBlogs input,attr,placeholder
rss.glossary.legend,Subscribe to Glossary feeds,S’abonner aux fils du glossaire,#MainCopy_ctl29_ManageRSS_SubscribeToGlossaryFeedsHeader,text,
rss.glossary.checkbox,Subscribe to feeds for Glossary,S’abonner aux fils pour le glossaire,#MainCopy_ctl29_ManageRSS_lblGlossaryCheckbox,text,
rss.copyPaste,Copy and paste your Feed link in any of the Feed Readers of your choice,Copiez et collez votre lien de fil dans le lecteur de fils de votre choix,#MainCopy_ctl29_ManageRSS_CopyPasteFeedLink,text,
rss.copyLink,Copy Link,Copier le lien,#MainCopy_ctl29_ManageRSS_hypCopyLink,text,
rss.openNew,Open Link in New Window,Ouvrir le lien dans une nouvelle fenêtre,#MainCopy_ctl29_ManageRSS_hypOpenNew,text,

# === FILE: accountSettingsSubscriptions-translated.csv ===

commNotif.heading,Community Notifications,Notifications de la communauté,#MainCopy_ctl29_MyCommunityNotifications_h3CommNotif,text,
commNotif.desc,Community notification will be delivered to your primary address:,Les notifications de la communauté seront envoyées à votre adresse principale :,#MainCopy_ctl29_MyCommunityNotifications_pCommNotifDesc,text,
commNotif.primaryAddressLabel,(primary address box),(boîte d’adresse principale),#MainCopy_ctl29_MyCommunityNotifications_CommunityNotificationsUpdatePanel .primary-address .alert,attr,title
commNotif.overrideDesc,"To receive specific community notifications at an address other than your primary, set override(s) where desired.","Pour recevoir certaines notifications de la communauté à une adresse autre que votre adresse principale, définissez des dérogations (overrides) au besoin.",#MainCopy_ctl29_MyCommunityNotifications_pOverrideDesc,text,

# commNotif.weekly.title,Weekly Consolidated Community Digest:,Bulletin communautaire hebdomadaire consolidé :,#MainCopy_ctl29_MyCommunityNotifications_strWeeklyConCommDigest,text,
# commNotif.weekly.popoverTitle,Weekly Consolidated Digest,Bulletin hebdomadaire consolidé,#MainCopy_ctl29_MyCommunityNotifications_hypWeeklyConDigestHelp,attr,data-original-title
# commNotif.weekly.popoverBody,"Offers a comprehensive view of all activity from the preceding week for the communities you specify in a single email. This includes announcements, blogs, discussions, library entries, new members and volunteer opportunities.","Offre un aperçu complet, en un seul courriel, de toute l’activité de la semaine précédente pour les communautés que vous indiquez. Comprend les annonces, blogues, discussions, éléments de la bibliothèque, nouveaux membres et occasions de bénévolat.",#MainCopy_ctl29_MyCommunityNotifications_hypWeeklyConDigestHelp,attr,data-content
commNotif.weekly.deliverOn,Deliver on,Envoyer le,#MainCopy_ctl29_MyCommunityNotifications_lblCommNotifWeeklyConDigDeliverOn,text,
commNotif.weekly.to,to,à,#MainCopy_ctl29_MyCommunityNotifications_pnlCommNotifWeeklyConDig .weekly-email-container span.text-muted:first-child,text,
commNotif.weekly.toPrimary,your primary address.,votre adresse principale.,#MainCopy_ctl29_MyCommunityNotifications_lblCommNotifWeeklyConDigEmailEnd,text,
# commNotif.weekly.change,change,modifier,#MainCopy_ctl29_MyCommunityNotifications_hypCommNotifWeeklyConDigChange,text,

# commNotif.weekly.modal.title,Override Email Address for Weekly Consolidated Digest,Remplacer l’adresse courriel pour le bulletin hebdomadaire consolidé,#MainCopy_ctl29_MyCommunityNotifications_mdlCommNotifWeeklyConDigestChangeEmail .modal-title,text,
# commNotif.weekly.modal.desc,Enter the email address at which you wish to receive the weekly consolidated digests. Remove the address to receive the digests at your primary email address.,Entrez l’adresse courriel à laquelle vous souhaitez recevoir les bulletins hebdomadaires consolidés. Supprimez l’adresse pour les recevoir à votre adresse principale.,#MainCopy_ctl29_MyCommunityNotifications_mdlCommNotifWeeklyConDigestChangeEmail_pOverrideWeeklyConDigest,text,
# commNotif.weekly.modal.label,Override email address,Adresse courriel de remplacement,#MainCopy_ctl29_MyCommunityNotifications_mdlCommNotifWeeklyConDigestChangeEmail label[for="MainCopy_ctl29_MyCommunityNotifications_mdlCommNotifWeeklyConDigestChangeEmail_tbCommNotifWeeklyConDigestChangeEmail"],text,
# commNotif.weekly.modal.placeholder,enter email address,entrer l’adresse courriel,#MainCopy_ctl29_MyCommunityNotifications_mdlCommNotifWeeklyConDigestChangeEmail_tbCommNotifWeeklyConDigestChangeEmail,attr,placeholder
# commNotif.weekly.modal.noteLabel,Note:,Remarque :,#MainCopy_ctl29_MyCommunityNotifications_mdlCommNotifWeeklyConDigestChangeEmail_pnlCommNotifWeeklConDigNote .alert-info,text,

#commNotif.weekly.modal.save,Save,Enregistrer,#MainCopy_ctl29_MyCommunityNotifications_mdlCommNotifWeeklyConDigestChangeEmail_lnkCommNotifWeeklyConChangeEmail,text,
#commNotif.weekly.modal.close,Close,Fermer,#MainCopy_ctl29_MyCommunityNotifications_mdlCommNotifWeeklyConDigestChangeEmail button.btn-default,text,

# commNotif.weekly.day.su,Sunday,dimanche,#MainCopy_ctl29_MyCommunityNotifications_ddlCommNotifWeeklyConDig option[value="0"],text,
# commNotif.weekly.day.mo,Monday,lundi,#MainCopy_ctl29_MyCommunityNotifications_ddlCommNotifWeeklyConDig option[value="1"],text,
# commNotif.weekly.day.tu,Tuesday,mardi,#MainCopy_ctl29_MyCommunityNotifications_ddlCommNotifWeeklyConDig option[value="2"],text,
# commNotif.weekly.day.we,Wednesday,mercredi,#MainCopy_ctl29_MyCommunityNotifications_ddlCommNotifWeeklyConDig option[value="3"],text,
# commNotif.weekly.day.th,Thursday,jeudi,#MainCopy_ctl29_MyCommunityNotifications_ddlCommNotifWeeklyConDig option[value="4"],text,
# commNotif.weekly.day.fr,Friday,vendredi,#MainCopy_ctl29_MyCommunityNotifications_ddlCommNotifWeeklyConDig option[value="5"],text,
# commNotif.weekly.day.sa,Saturday,samedi,#MainCopy_ctl29_MyCommunityNotifications_ddlCommNotifWeeklyConDig option[value="6"],text,

# popover
commNotif.weekly.title,Weekly Consolidated Community Digest:,Bulletin communautaire hebdomadaire consolidé :,#MainCopy_ctl29_MyCommunityNotifications_strWeeklyConCommDigest,text,
commNotif.weekly.popoverTitle,Weekly Consolidated Digest,Bulletin hebdomadaire consolidé,#MainCopy_ctl29_MyCommunityNotifications_hypWeeklyConDigestHelp,attr,data-original-title
commNotif.weekly.popoverBody,"Offers a comprehensive view of all activity from the preceding week for the communities you specify in a single email. This includes announcements, blogs, discussions, library entries, new members and volunteer opportunities.","Offre un aperçu complet, en un seul courriel, de toute l’activité de la semaine précédente pour les communautés que vous indiquez. Comprend les annonces, blogues, discussions, éléments de la bibliothèque, nouveaux membres et occasions de bénévolat.",#MainCopy_ctl29_MyCommunityNotifications_hypWeeklyConDigestHelp,attr,data-content

# popover
commNotif.discussion.title,Discussion Email:,Courriel de discussion :,#MainCopy_ctl29_MyCommunityNotifications_strDiscussionEmail,text,
commNotif.discussion.popoverTitle,Discussion Email,Courriel de discussion,#MainCopy_ctl29_MyCommunityNotifications_hypDiscussionEmailHelp,attr,data-original-title
commNotif.discussion.popoverBody,"Offers discussion posts from a single community. Can be delivered to you by email in real-time or aggregated in a single daily email. Configure the frequency and delivery details of discussion notifications for each community below.","Diffuse les publications de discussion d’une seule communauté. Peut être envoyées en temps réel ou regroupées en un seul courriel quotidien. Configurez ci-dessous la fréquence et les modalités d’envoi pour chaque communauté.",#MainCopy_ctl29_MyCommunityNotifications_hypDiscussionEmailHelp,attr,data-content

# popover
topicNotif.popoverTitle,Delivery Options,Options d’envoi,#MainCopy_ctl29_MyCommunityNotifications_lvTopicNotificationSettings_aTopicNotificationOptions_0,attr,data-original-title
topicNotif.popoverBody,"<p><strong>No Email</strong> – You will not receive any email notifications from the topic community.</p><p><strong>Personalized Digest</strong> – A daily email summarizing all content relevant to your preferences, interests, and activity.</p><p><strong>Personalized Digest & Real-Time Discussion Emails</strong> – Personalized digest and real-time emails for discussion threads related to your Stated Interests.</p>","<p><strong>Aucun courriel</strong> – Vous ne recevrez aucun avis par courriel de la communauté du sujet.</p><p><strong>Résumé personnalisé</strong> – Un courriel quotidien résumant tout le contenu pertinent à vos préférences, intérêts et activités.</p><p><strong>Résumé personnalisé et courriels de discussion en temps réel</strong> – Résumé personnalisé et courriels en temps réel pour les fils de discussion liés à vos intérêts déclarés.</p>",#MainCopy_ctl29_MyCommunityNotifications_lvTopicNotificationSettings_aTopicNotificationOptions_0,attr,data-content

