key,en,fr,selector,type,attr
emailPreferences.community.manageOptOut,Manage Opt-out List,Gérer la liste de désabonnement,#MainCopy_ctl29_lbtnManageOptOutList,text,
emailPreferences.community.note,NOTE: Discussion and consolidated digest settings are on the Community Notifications page.,REMARQUE : Les paramètres des discussions et des résumés consolidés se trouvent sur la page Notifications de la communauté.,.row-border-bottom:nth-of-type(2) .text-muted,text,
emailPreferences.participation.heading,Participation Emails,Courriels de participation,.row-border-bottom:nth-of-type(3) h3,text,
# emailPreferences.participation.desc,Emails reflecting one-on-one interactions (ex: reply to sender, contact requests, @mentions, real time notifications).,Courriels reflétant des interactions individuelles (p. ex. réponse à l’expéditeur, demandes de contact, @mentions, notifications en temps réel).,#MainCopy_ctl29_pSocialEmailDescription,text,
emailPreferences.participation.desc,"Emails reflecting one-on-one interactions (ex: reply to sender, contact requests, @mentions, real time notifications).","Courriels reflétant des interactions individuelles (p. ex. réponse à l’expéditeur, demandes de contact, @mentions, notifications en temps réel).",#MainCopy_ctl29_pSocialEmailDescription,text,
emailPreferences.promotional.heading,Promotional Emails,Courriels promotionnels,.row-border-bottom:nth-of-type(4) h3,text,
emailPreferences.promotional.desc,Emails that promote the outcome of purchase (ex: purchase the book of an annual conference speaker).,Courriels qui font la promotion d’achats ou de produits (p. ex. achat du livre d’un conférencier de la conférence annuelle).,#MainCopy_ctl29_pPromotionalEmailDescription,text,
emailPreferences.newsletter.heading,Smart Newsletter,Bulletin intelligent,.row-border-bottom:nth-of-type(5) h3,text,
emailPreferences.newsletter.desc,Smart Newsletter is a periodic email that contains highly personalized content from community and other sources.,Le Bulletin intelligent est un courriel périodique qui contient du contenu hautement personnalisé provenant de la communauté et d’autres sources.,#MainCopy_ctl29_pNewsletterEmailDescription,text,
emailPreferences.optOut.modalTitle,Community Email - Opt-out List, Courriels de communauté – Liste de désabonnement,#MainCopy_ctl29_modalOptOutList .modal-title,text,
emailPreferences.optOut.modalDesc,Select communities for which you would not like to receive emails.,Sélectionnez les communautés dont vous ne souhaitez pas recevoir les courriels.,#MainCopy_ctl29_modalOptOutList .modal-body p,text,
emailPreferences.optOut.save,Save,Enregistrer,#MainCopy_ctl29_modalOptOutList_btnSaveOptOutList,attr,value
emailPreferences.optOut.close,Close,Fermer,#MainCopy_ctl29_modalOptOutList_btnCloseOptOutList,attr,value
